4445165,Corvus: A Life with Birds,Esther Woolfson,"Woolfson, Esther",,1847080294,9781847080295,0,4.05,Granta Books,Hardcover,288,2008,2008,,2021/09/13,"to-read, nature, birds","to-read (#252), nature (#3), birds (#7)",to-read,,,,0,0
50778832,"What It's Like to Be a Bird: From Flying to Nesting, Eating to Singing—What Birds Are Doing, and Why",David Allen Sibley,"Sibley, David Allen",,0307957896,9780307957894,0,4.39,Knopf Publishing Group,Hardcover,240,2020,2020,,2020/12/25,"to-read, owned-to-read, nature, birds","to-read (#138), owned-to-read (#12), nature (#12), birds (#6)",to-read,,,,0,0
51075317,"The Backyard Birdwatcher's Bible: Birds, Behaviors, Habitats, Identification, Art  Other Home Crafts",Paul Sterry,"Sterry, Paul",,1419750534,9781419750533,0,3.98,Harry N. Abrams,Hardcover,416,2020,,,2020/12/25,"to-read, nature, birds","to-read (#137), nature (#13), birds (#5)",to-read,,,,0,0
13259775,"Gifts of the Crow: How Perception, Emotion, and Thought Allow Smart Birds to Behave Like Humans",John M. Marzluff,"Marzluff, John M.",Tony Angell,143919873X,9781439198735,0,3.93,Simon & Schuster,Hardcover,304,2012,2012,,2022/07/05,"to-read, nature, birds","to-read (#517), nature (#17), birds (#4)",to-read,,,,0,0
37641166,"BirdNote: Chirps, Quirks, and Stories of 100 Birds from the Popular Public Radio Show",BirdNote,"BirdNote, BirdNote","Ellen Blackstone, Emily Poole",,9781632171696,0,4.3,Sasquatch Books,Hardcover,224,2018,,,2022/07/05,"to-read, nature, birds","to-read (#518), nature (#18), birds (#3)",to-read,,,,0,0
53968550,Bird Families of North America,Pete Dunne,"Dunne, Pete",Kevin T. Karlson,0358164079,9780358164074,0,4,Mariner Books,Hardcover,288,2021,,,2022/11/03,"to-read, birds, nature","to-read (#640), birds (#2), nature (#21)",to-read,,,,0,0
58739280,Around the World in 80 Birds,Mike Unwin,"Unwin, Mike",Ryuto Miyake,0857828959,9780857828958,0,4.25,Laurence King Publishing,Hardcover,224,2022,2022,,2022/11/03,"to-read, birds, nature","to-read (#641), birds (#1), nature (#20)",to-read,,,,0,0
2045777,The First Christmas Tree,Henry Van Dyke,"Dyke, Henry Van",,140654714X,9781406547146,0,3.16,Dodo Press,Paperback,48,2007,1897,,2022/11/06,"to-read, christmas","to-read (#645), christmas (#33)",to-read,,,,0,0
55939770,How We Kept Thanksgiving At Oldtown,Harriet Beecher Stowe,"Stowe, Harriet Beecher",,,9781974929238,0,3.75,"Dreamscape Media, LLC",ebook,16,2018,,,2022/11/06,to-read,to-read (#644),to-read,,,,0,0
24555756,The Christmas Stories of Louisa May Alcott,Louisa May Alcott,"Alcott, Louisa May",,,,0,3.66,Miniature Masterpieces,Kindle Edition,96,2014,,,2022/11/06,"to-read, christmas","to-read (#643), christmas (#32)",to-read,,,,0,0
11773099,On Christmas Day in the Morning,Grace S. Richmond,"Richmond, Grace S.",Charles M. Relyea,,,0,3.77,"Amazon Digital Services, Inc.",Kindle Edition,26,2011,1908,,2022/11/06,"to-read, christmas, owned-to-read","to-read (#642), christmas (#31), owned-to-read (#281)",to-read,,,,0,0
49247130,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,1250751365,9781250751362,0,4.03,Flatiron Books,Paperback,480,2020,2019,,2022/11/03,to-read,to-read (#639),to-read,,,,0,0
275470,The Haunted Looking Glass,Edward Gorey,"Gorey, Edward",,0940322684,9780940322684,0,4.06,NYRB Classics,Paperback,254,2001,1959,,2022/10/31,"to-read, horror","to-read (#638), horror (#35)",to-read,,,,0,0
53548566,Hōjōki: A Hermit's Hut as Metaphor,Kamo no Chōmei,"Chōmei, Kamo no",Matthew Stavros,,,0,4.03,,Kindle Edition,,2020,1212,,2022/07/09,"to-read, japan","to-read (#520), japan (#41)",to-read,,,,0,0
